Historical Data;;;;;;;;
From 2023-06-12 to 2025-06-09;;;;;;;;
FR0003500008;;;;;;;;
Date;Open;High;Low;Last;Close;Number of Shares;Number of Trades;Turnover
26/02/2025;8103.73;8169.35;8084.05;8143.92;8143.92;'0;'0;'4503489178
25/02/2025;8065.36;8107.11;8043.13;8051.07;8051.07;'0;'0;'4209948121
24/02/2025;8138.86;8150.64;8064.67;8090.99;8090.99;'0;'0;'3803590269
21/02/2025;8138.24;8180.72;8126.87;8154.51;8154.51;'0;'0;'4955367542
20/02/2025;8140.78;8172.76;8107.31;8122.58;8122.58;'0;'0;'4194616728
19/02/2025;8205.44;8208.67;8097.14;8110.54;8110.54;'0;'0;'4282407999
18/02/2025;8205.94;8225.13;8160.61;8206.56;8206.56;'0;'0;'4169329469
17/02/2025;8181.40;8199.04;8165.90;8189.13;8189.13;'0;'0;'3190175354
14/02/2025;8164.62;8212.64;8155.45;8178.54;8178.54;'0;'0;'4920473787
13/02/2025;8120.81;8176.12;8091.42;8164.11;8164.11;'0;'0;'5420263660
12/02/2025;8039.61;8067.07;7984.72;8042.19;8042.19;'0;'0;'4500482386
11/02/2025;8013.01;8037.24;7995.65;8028.90;8028.90;'0;'0;'3477241365
10/02/2025;7977.76;8014.13;7971.15;8006.22;8006.22;'0;'0;'3664052407
'07/02/2025;7998.38;8027.05;7954.90;7973.03;7973.03;'0;'0;'4421699514
'06/02/2025;7918.36;8024.88;7906.36;8007.62;8007.62;'0;'0;'5024946606
'05/02/2025;7888.60;7900.71;7858.22;7891.68;7891.68;'0;'0;'3457275040
'04/02/2025;7870.29;7915.53;7808.11;7906.40;7906.40;'0;'0;'4017076416
'03/02/2025;7786.32;7875.58;7785.87;7854.92;7854.92;'0;'0;'4485759104
31/01/2025;7954.43;7996.41;7928.84;7950.17;7950.17;'0;'0;'4429676741
30/01/2025;7904.47;7951.85;7889.22;7941.64;7941.64;'0;'0;'3773363025
29/01/2025;7874.72;7891.59;7848.76;7872.48;7872.48;'0;'0;'3919587907
28/01/2025;7899.28;7955.46;7879.33;7897.37;7897.37;'0;'0;'4087940993
27/01/2025;7873.70;7928.41;7844.41;7906.58;7906.58;'0;'0;'4685758436
24/01/2025;7958.92;7988.85;7904.17;7927.62;7927.62;'0;'0;'3938273486
23/01/2025;7851.40;7896.97;7829.40;7892.61;7892.61;'0;'0;'3771307184
22/01/2025;7783.30;7873.98;7773.64;7837.40;7837.40;'0;'0;'3915540359
21/01/2025;7724.34;7774.76;7713.26;7770.95;7770.95;'0;'0;'3193421761
20/01/2025;7722.12;7766.24;7707.29;7733.50;7733.50;'0;'0;'3194351505
17/01/2025;7685.04;7732.32;7667.85;7709.75;7709.75;'0;'0;'4593769634
16/01/2025;7591.35;7634.74;7567.67;7634.74;7634.74;'0;'0;'4599038405
