Historical Data;;;;;;;;
From 2023-06-12 to 2025-06-09;;;;;;;;
FR0003500008;;;;;;;;
Date;Open;High;Low;Last;Close;Number of Shares;Number of Trades;Turnover
28/03/2024;8216.77;8253.59;8205.81;8205.81;8205.81;'0;'0;'3660478198
27/03/2024;8186.07;8230.38;8174.26;8204.81;8204.81;'0;'0;'2936097321
26/03/2024;8160.64;8188.53;8136.64;8184.75;8184.75;'0;'0;'3111181442
25/03/2024;8147.80;8165.95;8101.83;8151.60;8151.60;'0;'0;'2793093186
22/03/2024;8149.23;8179.32;8129.17;8151.92;8151.92;'0;'0;'3138048722
21/03/2024;8228.71;8229.25;8139.52;8179.72;8179.72;'0;'0;'3492518108
20/03/2024;8149.71;8168.23;8125.65;8161.41;8161.41;'0;'0;'3148835645
19/03/2024;8145.50;8202.36;8140.60;8201.05;8201.05;'0;'0;'2862767762
18/03/2024;8175.98;8184.34;8134.14;8148.14;8148.14;'0;'0;'2321293324
15/03/2024;8163.19;8212.69;8155.69;8164.35;8164.35;'0;'0;'9963444644
14/03/2024;8158.27;8218.07;8153.69;8161.42;8161.42;'0;'0;'3570935197
13/03/2024;8104.34;8156.64;8090.31;8137.58;8137.58;'0;'0;'3211913418
12/03/2024;8052.16;8094.07;8000.23;8087.48;8087.48;'0;'0;'3331063236
11/03/2024;7985.37;8025.41;7984.06;8019.73;8019.73;'0;'0;'2508842742
'08/03/2024;8018.10;8048.09;8008.04;8028.01;8028.01;'0;'0;'2648407902
'07/03/2024;7925.41;8029.37;7905.41;8016.22;8016.22;'0;'0;'3313687484
'06/03/2024;7925.79;7969.45;7919.37;7954.74;7954.74;'0;'0;'2620556165
'05/03/2024;7946.89;7963.96;7923.71;7932.82;7932.82;'0;'0;'2540633929
'04/03/2024;7934.35;7956.41;7916.71;7956.41;7956.41;'0;'0;'2366778837
'01/03/2024;7950.66;7964.78;7900.48;7934.17;7934.17;'0;'0;'2631353371
29/02/2024;7972.86;7977.68;7927.43;7927.43;7927.43;'0;'0;'6100800358
28/02/2024;7947.23;7956.73;7931.67;7954.39;7954.39;'0;'0;'2752559395
27/02/2024;7926.68;7955.48;7917.08;7948.40;7948.40;'0;'0;'2700981747
26/02/2024;7950.15;7953.15;7922.89;7929.82;7929.82;'0;'0;'2511304348
23/02/2024;7921.95;7976.40;7907.84;7966.68;7966.68;'0;'0;'3048698190
22/02/2024;7875.88;7923.96;7855.01;7911.60;7911.60;'0;'0;'3662244665
21/02/2024;7802.04;7821.93;7788.68;7812.09;7812.09;'0;'0;'2833444500
20/02/2024;7764.50;7804.54;7757.49;7795.22;7795.22;'0;'0;'2979583498
19/02/2024;7742.87;7769.13;7727.96;7768.55;7768.55;'0;'0;'2035316639
16/02/2024;7774.39;7800.91;7756.58;7768.18;7768.18;'0;'0;'4043480735
15/02/2024;7724.49;7752.35;7724.49;7743.42;7743.42;'0;'0;'3890587830
14/02/2024;7610.06;7681.03;7610.06;7677.35;7677.35;'0;'0;'2669101990
13/02/2024;7689.05;7691.19;7598.02;7625.31;7625.31;'0;'0;'3061594480
12/02/2024;7674.14;7693.08;7663.38;7689.80;7689.80;'0;'0;'2827416071
'09/02/2024;7652.45;7668.19;7617.74;7647.52;7647.52;'0;'0;'3670089096
'08/02/2024;7628.60;7685.46;7607.46;7665.63;7665.63;'0;'0;'3514843643
'07/02/2024;7632.84;7652.85;7610.18;7611.26;7611.26;'0;'0;'3062593630
'06/02/2024;7634.19;7641.63;7592.09;7638.97;7638.97;'0;'0;'2816768213
'05/02/2024;7591.77;7606.12;7558.23;7589.96;7589.96;'0;'0;'2684993047
'02/02/2024;7624.45;7644.13;7588.50;7592.26;7592.26;'0;'0;'2962142612
'01/02/2024;7590.15;7620.93;7570.07;7588.75;7588.75;'0;'0;'3478618353
31/01/2024;7691.66;7702.95;7653.45;7656.75;7656.75;'0;'0;'3599257433
30/01/2024;7660.65;7686.03;7644.73;7677.47;7677.47;'0;'0;'2543115950
29/01/2024;7643.04;7649.19;7620.53;7640.81;7640.81;'0;'0;'2892934476
26/01/2024;7555.05;7645.74;7553.65;7634.14;7634.14;'0;'0;'4308418788
25/01/2024;7448.05;7466.27;7410.89;7464.20;7464.20;'0;'0;'2637257665
24/01/2024;7414.76;7466.92;7403.87;7455.64;7455.64;'0;'0;'3100884528
23/01/2024;7449.38;7449.38;7373.22;7388.04;7388.04;'0;'0;'2703266665
22/01/2024;7436.61;7453.21;7390.68;7413.25;7413.25;'0;'0;'2521284871
19/01/2024;7446.82;7446.82;7350.68;7371.64;7371.64;'0;'0;'3149865158
18/01/2024;7346.71;7409.64;7326.45;7401.35;7401.35;'0;'0;'3041108380
17/01/2024;7313.26;7323.25;7281.10;7318.69;7318.69;'0;'0;'3161141730
16/01/2024;7364.11;7399.29;7343.52;7398.00;7398.00;'0;'0;'2481375291
15/01/2024;7467.80;7479.27;7401.07;7411.68;7411.68;'0;'0;'2085678542
12/01/2024;7412.68;7478.66;7408.46;7465.14;7465.14;'0;'0;'2974397833
11/01/2024;7466.11;7479.42;7382.88;7387.62;7387.62;'0;'0;'2903244250
10/01/2024;7428.26;7454.32;7409.53;7426.08;7426.08;'0;'0;'2352396244
'09/01/2024;7457.26;7460.18;7400.62;7426.62;7426.62;'0;'0;'2359016179
'08/01/2024;7406.24;7451.17;7376.20;7450.24;7450.24;'0;'0;'2136385856
'05/01/2024;7398.40;7441.10;7350.30;7420.69;7420.69;'0;'0;'2424405119
'04/01/2024;7419.85;7455.37;7410.18;7450.63;7450.63;'0;'0;'2690272194
'03/01/2024;7522.81;7532.60;7380.06;7411.86;7411.86;'0;'0;'3018324073
'02/01/2024;7577.33;7610.10;7482.06;7530.86;7530.86;'0;'0;'2401284618
29/12/2023;7547.53;7569.92;7530.93;7543.18;7543.18;'0;'0;'1449477440
28/12/2023;7591.85;7593.96;7531.71;7535.16;7535.16;'0;'0;'1608934831
27/12/2023;7580.97;7603.27;7560.54;7571.82;7571.82;'0;'0;'1672018411
22/12/2023;7560.97;7589.00;7557.58;7568.82;7568.82;'0;'0;'1883357953
21/12/2023;7557.16;7574.71;7537.81;7571.40;7571.40;'0;'0;'2099803389
20/12/2023;7595.25;7604.96;7552.29;7583.43;7583.43;'0;'0;'2449600261
19/12/2023;7560.57;7579.86;7553.08;7574.67;7574.67;'0;'0;'2764164381
18/12/2023;7563.31;7580.64;7548.18;7568.86;7568.86;'0;'0;'2776610566
15/12/2023;7607.92;7641.91;7587.68;7596.91;7596.91;'0;'0;'10988799685
14/12/2023;7626.54;7653.99;7547.00;7575.85;7575.85;'0;'0;'4748725963
13/12/2023;7542.10;7579.25;7529.11;7531.22;7531.22;'0;'0;'3217203866
12/12/2023;7557.32;7582.47;7542.53;7543.55;7543.55;'0;'0;'2866439017
11/12/2023;7534.23;7559.95;7527.58;7551.53;7551.53;'0;'0;'3069505195
'08/12/2023;7441.00;7545.68;7437.97;7526.55;7526.55;'0;'0;'3284287253
'07/12/2023;7424.82;7436.95;7415.66;7428.52;7428.52;'0;'0;'2702399501
'06/12/2023;7400.21;7455.00;7384.99;7435.99;7435.99;'0;'0;'3124113560
'05/12/2023;7320.49;7392.64;7320.49;7386.99;7386.99;'0;'0;'3090197041
'04/12/2023;7331.80;7354.32;7313.71;7332.59;7332.59;'0;'0;'2398354669
'01/12/2023;7336.55;7360.10;7313.19;7346.15;7346.15;'0;'0;'2860150065
30/11/2023;7276.87;7321.47;7255.04;7310.77;7310.77;'0;'0;'6923357782
29/11/2023;7241.41;7296.40;7241.41;7267.64;7267.64;'0;'0;'2735836950
28/11/2023;7230.74;7253.42;7213.74;7250.13;7250.13;'0;'0;'2562301096
27/11/2023;7292.91;7307.67;7265.49;7265.49;7265.49;'0;'0;'2122757778
24/11/2023;7275.00;7298.91;7268.58;7292.80;7292.80;'0;'0;'2055088737
23/11/2023;7274.25;7285.29;7263.67;7277.93;7277.93;'0;'0;'1639549199
22/11/2023;7252.01;7274.77;7243.83;7260.73;7260.73;'0;'0;'2201595167
21/11/2023;7231.04;7248.06;7214.39;7229.45;7229.45;'0;'0;'2145273677
20/11/2023;7242.40;7267.04;7236.02;7246.93;7246.93;'0;'0;'2310669960
17/11/2023;7196.69;7246.72;7196.69;7233.91;7233.91;'0;'0;'3896536591
16/11/2023;7203.96;7210.01;7168.40;7168.40;7168.40;'0;'0;'2919000135
15/11/2023;7214.69;7245.37;7198.91;7209.61;7209.61;'0;'0;'3298453975
14/11/2023;7098.72;7207.77;7083.23;7185.68;7185.68;'0;'0;'3478775971
13/11/2023;7069.88;7103.67;7056.09;7087.06;7087.06;'0;'0;'2486837964
10/11/2023;7079.40;7083.12;7006.09;7045.04;7045.04;'0;'0;'2953163249
'09/11/2023;7043.88;7122.51;7025.61;7113.66;7113.66;'0;'0;'2989251537
'08/11/2023;6951.48;7068.04;6950.95;7034.16;7034.16;'0;'0;'2727790541
'07/11/2023;6970.66;7011.79;6963.88;6986.23;6986.23;'0;'0;'2649702952
'06/11/2023;7066.18;7069.66;7006.53;7013.73;7013.73;'0;'0;'2432448117
'03/11/2023;7084.51;7086.71;7046.86;7047.50;7047.50;'0;'0;'3214121721
'02/11/2023;6991.45;7097.39;6982.04;7060.69;7060.69;'0;'0;'3315664382
'01/11/2023;6914.32;6954.84;6873.55;6932.63;6932.63;'0;'0;'2491532335
31/10/2023;6840.73;6903.20;6831.67;6885.65;6885.65;'0;'0;'3240147861
30/10/2023;6826.95;6854.60;6809.84;6825.07;6825.07;'0;'0;'2709653158
27/10/2023;6898.98;6898.98;6784.62;6795.38;6795.38;'0;'0;'3603142422
26/10/2023;6835.53;6915.24;6825.59;6888.96;6888.96;'0;'0;'3281634067
25/10/2023;6859.69;6927.27;6846.51;6915.07;6915.07;'0;'0;'3112595006
24/10/2023;6865.10;6909.08;6833.91;6893.65;6893.65;'0;'0;'2943667436
23/10/2023;6820.25;6855.93;6773.82;6850.47;6850.47;'0;'0;'2586914127
20/10/2023;6850.13;6880.64;6816.17;6816.22;6816.22;'0;'0;'4304564031
19/10/2023;6918.08;6938.31;6875.77;6921.37;6921.37;'0;'0;'3080838011
18/10/2023;7021.13;7045.18;6954.10;6965.99;6965.99;'0;'0;'2698452582
17/10/2023;7016.25;7051.18;6969.07;7029.70;7029.70;'0;'0;'2411642298
16/10/2023;7029.75;7048.34;6963.02;7022.19;7022.19;'0;'0;'2555312913
13/10/2023;7097.15;7108.76;6997.48;7003.53;7003.53;'0;'0;'3320888772
12/10/2023;7175.77;7182.30;7097.53;7104.53;7104.53;'0;'0;'2837942943
11/10/2023;7090.18;7166.50;7080.01;7131.21;7131.21;'0;'0;'3979262949
10/10/2023;7086.72;7170.32;7085.13;7162.43;7162.43;'0;'0;'3123862886
'09/10/2023;7041.38;7057.81;6980.33;7021.40;7021.40;'0;'0;'2629115083
'06/10/2023;7022.07;7064.44;6981.49;7060.15;7060.15;'0;'0;'2771548804
'05/10/2023;7009.82;7025.50;6970.59;6998.25;6998.25;'0;'0;'2651122343
'04/10/2023;6959.52;7050.69;6948.03;6996.73;6996.73;'0;'0;'2681659946
'03/10/2023;7031.59;7075.49;6989.77;6997.05;6997.05;'0;'0;'2933037376
'02/10/2023;7164.05;7197.00;7035.65;7068.16;7068.16;'0;'0;'2896576191
29/09/2023;7152.30;7204.96;7135.06;7135.06;7135.06;'0;'0;'3563967254
28/09/2023;7068.03;7117.33;7042.74;7116.24;7116.24;'0;'0;'2855324199
27/09/2023;7070.39;7106.37;7053.11;7071.79;7071.79;'0;'0;'2801920441
26/09/2023;7083.86;7095.46;7033.83;7074.02;7074.02;'0;'0;'3050099165
25/09/2023;7157.23;7199.95;7087.63;7123.88;7123.88;'0;'0;'3010055472
22/09/2023;7157.39;7203.97;7133.65;7184.82;7184.82;'0;'0;'2928276786
21/09/2023;7252.41;7270.06;7199.11;7213.90;7213.90;'0;'0;'3298872009
20/09/2023;7278.92;7351.29;7272.68;7330.79;7330.79;'0;'0;'3057906138
19/09/2023;7250.05;7306.02;7247.02;7282.12;7282.12;'0;'0;'2740348125
18/09/2023;7353.55;7353.55;7255.03;7276.14;7276.14;'0;'0;'3113904679
15/09/2023;7381.32;7435.36;7366.21;7378.82;7378.82;'0;'0;'10022514373
14/09/2023;7216.08;7323.68;7184.25;7308.67;7308.67;'0;'0;'3991943543
13/09/2023;7224.62;7249.34;7184.56;7222.57;7222.57;'0;'0;'2927612150
12/09/2023;7290.62;7297.87;7241.99;7252.88;7252.88;'0;'0;'2628319830
11/09/2023;7275.37;7316.50;7253.65;7278.27;7278.27;'0;'0;'2619082070
'08/09/2023;7219.91;7246.74;7136.56;7240.77;7240.77;'0;'0;'2640831950
'07/09/2023;7165.98;7240.72;7165.98;7196.10;7196.10;'0;'0;'2765812894
'06/09/2023;7217.44;7221.44;7168.84;7194.09;7194.09;'0;'0;'2866117133
'05/09/2023;7241.20;7288.35;7183.80;7254.72;7254.72;'0;'0;'2599354472
'04/09/2023;7332.20;7358.89;7267.25;7279.51;7279.51;'0;'0;'1660126098
'01/09/2023;7310.68;7358.53;7294.49;7296.77;7296.77;'0;'0;'2572344187
31/08/2023;7372.65;7386.95;7316.70;7316.70;7316.70;'0;'0;'5584599817
30/08/2023;7396.14;7405.45;7321.35;7364.40;7364.40;'0;'0;'2096248743
29/08/2023;7345.57;7378.05;7322.45;7373.43;7373.43;'0;'0;'2408848466
28/08/2023;7294.34;7340.35;7261.50;7324.71;7324.71;'0;'0;'1915463405
25/08/2023;7199.59;7287.56;7196.84;7229.60;7229.60;'0;'0;'1859298590
24/08/2023;7309.61;7343.77;7210.00;7214.46;7214.46;'0;'0;'2142033258
23/08/2023;7265.98;7295.36;7224.07;7246.62;7246.62;'0;'0;'2044251856
22/08/2023;7227.10;7293.63;7223.07;7240.88;7240.88;'0;'0;'2148831562
21/08/2023;7165.07;7259.32;7165.07;7198.06;7198.06;'0;'0;'2184275996
18/08/2023;7163.21;7172.99;7092.72;7164.11;7164.11;'0;'0;'3321484878
17/08/2023;7229.06;7261.90;7183.50;7191.74;7191.74;'0;'0;'2495170697
16/08/2023;7246.73;7301.11;7241.10;7260.25;7260.25;'0;'0;'1907772045
15/08/2023;7355.08;7357.71;7236.56;7267.70;7267.70;'0;'0;'1942614350
14/08/2023;7326.78;7371.93;7309.94;7348.84;7348.84;'0;'0;'1915621053
11/08/2023;7391.25;7406.89;7317.76;7340.19;7340.19;'0;'0;'2418061160
10/08/2023;7373.55;7464.79;7368.95;7433.62;7433.62;'0;'0;'3123727749
'09/08/2023;7351.02;7381.38;7317.38;7322.04;7322.04;'0;'0;'2420511567
'08/08/2023;7271.05;7325.73;7219.12;7269.47;7269.47;'0;'0;'2847973574
'07/08/2023;7290.37;7330.24;7269.48;7319.76;7319.76;'0;'0;'1925696428
'04/08/2023;7286.98;7323.19;7244.19;7315.07;7315.07;'0;'0;'2966265164
'03/08/2023;7256.06;7271.83;7213.87;7260.53;7260.53;'0;'0;'3341255939
'02/08/2023;7312.91;7377.01;7287.04;7312.84;7312.84;'0;'0;'3496538703
'01/08/2023;7478.10;7499.53;7403.16;7406.08;7406.08;'0;'0;'2786186125
31/07/2023;7473.12;7526.05;7464.65;7497.78;7497.78;'0;'0;'3468527853
28/07/2023;7449.20;7498.94;7416.20;7476.47;7476.47;'0;'0;'3837017879
27/07/2023;7358.66;7477.11;7340.03;7465.24;7465.24;'0;'0;'4490667004
26/07/2023;7363.54;7369.07;7251.02;7315.07;7315.07;'0;'0;'3661963315
25/07/2023;7449.94;7450.37;7401.83;7415.45;7415.45;'0;'0;'2578540669
24/07/2023;7405.66;7435.93;7390.82;7427.31;7427.31;'0;'0;'2184013808
21/07/2023;7389.51;7433.31;7379.62;7432.77;7432.77;'0;'0;'3220106103
20/07/2023;7302.22;7391.45;7301.12;7384.91;7384.91;'0;'0;'2920887086
19/07/2023;7369.80;7382.89;7317.54;7326.94;7326.94;'0;'0;'2608285448
18/07/2023;7280.19;7326.72;7275.52;7319.18;7319.18;'0;'0;'1994437134
17/07/2023;7314.17;7332.50;7268.73;7291.66;7291.66;'0;'0;'2102852145
14/07/2023;7353.92;7403.15;7353.92;7374.54;7374.54;'0;'0;'2156858255
13/07/2023;7346.56;7409.01;7335.61;7369.80;7369.80;'0;'0;'2846687003
12/07/2023;7241.06;7348.06;7231.33;7333.01;7333.01;'0;'0;'3105516352
11/07/2023;7176.18;7244.96;7172.14;7220.01;7220.01;'0;'0;'2239062541
10/07/2023;7082.46;7173.65;7082.46;7143.69;7143.69;'0;'0;'2064993693
'07/07/2023;7098.75;7151.07;7052.77;7111.88;7111.88;'0;'0;'2856712025
'06/07/2023;7239.90;7240.20;7065.26;7082.29;7082.29;'0;'0;'4333293283
'05/07/2023;7327.78;7352.12;7294.60;7310.81;7310.81;'0;'0;'3101013845
'04/07/2023;7390.91;7401.46;7368.97;7369.93;7369.93;'0;'0;'1720904215
'03/07/2023;7415.17;7426.60;7386.70;7386.70;7386.70;'0;'0;'2292962099
30/06/2023;7339.89;7419.36;7337.28;7400.06;7400.06;'0;'0;'4501231475
29/06/2023;7295.76;7349.18;7288.65;7312.73;7312.73;'0;'0;'2648254976
28/06/2023;7250.68;7292.89;7250.68;7286.32;7286.32;'0;'0;'2750783679
27/06/2023;7212.83;7236.21;7161.72;7215.58;7215.58;'0;'0;'2540201905
26/06/2023;7175.88;7203.46;7105.72;7184.35;7184.35;'0;'0;'2630934246
23/06/2023;7165.38;7193.78;7128.64;7163.42;7163.42;'0;'0;'2760320367
22/06/2023;7194.26;7206.89;7145.06;7203.28;7203.28;'0;'0;'2765488867
21/06/2023;7273.89;7297.85;7246.86;7260.97;7260.97;'0;'0;'2638941986
20/06/2023;7303.24;7322.57;7281.12;7294.17;7294.17;'0;'0;'2896403417
19/06/2023;7353.31;7362.44;7302.63;7314.05;7314.05;'0;'0;'2642163427
16/06/2023;7312.07;7403.88;7297.73;7388.65;7388.65;'0;'0;'10879277839
15/06/2023;7304.97;7313.47;7246.33;7290.91;7290.91;'0;'0;'2919544569
14/06/2023;7290.94;7358.99;7288.46;7328.53;7328.53;'0;'0;'3170706612
13/06/2023;7290.31;7308.00;7244.42;7290.80;7290.80;'0;'0;'3162167069
12/06/2023;7250.15;7283.33;7237.85;7250.35;7250.35;'0;'0;'2782240126
'09/06/2023;7230.95;7239.52;7185.26;7213.14;7213.14;'0;'0;'2637507851
'08/06/2023;7196.22;7236.15;7184.19;7222.15;7222.15;'0;'0;'2353620833
'07/06/2023;7198.24;7227.59;7170.94;7202.79;7202.79;'0;'0;'2616275194
'06/06/2023;7189.63;7219.37;7175.60;7209.00;7209.00;'0;'0;'2528575682
'05/06/2023;7294.81;7294.81;7193.37;7200.91;7200.91;'0;'0;'2570219254
'02/06/2023;7181.80;7278.00;7179.31;7270.69;7270.69;'0;'0;'3429778425
